,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
3643,post,2020010400,HOU,BUF,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020010400/2020010400_gtd.json,22.0,19.0
3644,post,2020010401,NE,TEN,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020010401/2020010401_gtd.json,13.0,20.0
3645,post,2020010500,NO,MIN,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020010500/2020010500_gtd.json,20.0,26.0
3646,post,2020010501,PHI,SEA,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020010501/2020010501_gtd.json,9.0,17.0
3647,post,2020011100,SF,MIN,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011100/2020011100_gtd.json,27.0,10.0
3648,post,2020011101,BAL,TEN,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011101/2020011101_gtd.json,12.0,28.0
3649,post,2020011200,KC,HOU,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011200/2020011200_gtd.json,51.0,31.0
3650,post,2020011201,GB,SEA,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011201/2020011201_gtd.json,28.0,23.0
3651,post,2020011900,KC,TEN,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011900/2020011900_gtd.json,35.0,24.0
3652,post,2020011901,SF,GB,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020011901/2020011901_gtd.json,37.0,20.0
3653,post,2020020200,KC,SF,18,2019,POST,http://www.nfl.com/liveupdate/game-center/2020020200/2020020200_gtd.json,31.0,20.0
